subject,type,group,age,scholarship,gender,laterality,dscore_4,modo_2,mean_co_0,mean_in_0,dif_co_in_0,mean_co_1,mean_in_1,dif_co_in_1,mean_co_2,mean_in_2,dif_co_in_2
23004,excombatant,exparamilitar,42,11,F,D,0.55509367,#N/D,-0.15984027617097218,-1.0467205875606254,0.8868803113896532,0.1816854408661903,0.7917425834820263,-0.6100571426158362,-0.3612812784722843,0.04831269906857131,-0.4095939775408555
23005,excombatant,exparamilitar,48,18,M,D,-0.198111577,#N/D,-0.13727258030652148,0.06064909662448786,-0.19792167693100934,0.2431017558332812,0.8234562808611974,-0.5803545250279161,1.128897646412646,1.328253728317027,-0.19935608190438084
23006,excombatant,exparamilitar,32,12,M,D,-0.279420102,#N/D,-0.3435952288555806,-0.24727758942662362,-0.09631763942895688,-0.3928571825169459,-0.5009729821400274,0.10811579962308147,-0.04059826477133954,-0.32031469206675534,0.2797164272954159
23007,excombatant,exguerrilla,53,7,M,D,0.163609682,#N/D,1.0875913483315964,-0.08629047084007059,1.1738818191716667,0.44021184559249205,1.0587735912871228,-0.6185617456946306,0.8880090138503809,0.7017841632955589,0.1862248505548221
23008,excombatant,ex-both-sides,53,5,M,D,0.250432145,#N/D,-0.4282859627838782,-0.09955195677016394,-0.32873400601371433,0.10112054124971351,-0.5867962091156596,0.6879167503653737,-0.3479288985359482,-0.3877587367359426,0.03982983819999434
23009,excombatant,exparamilitar,52,15,M,D,-0.439114638,#N/D,0.07704699355668858,0.9949972883023139,-0.9179502947456258,0.41755097967323085,1.1059817402571348,-0.6884307605839042,-0.24736791938833427,-0.5449012568985108,0.2975333375101765
23010,excombatant,exparamilitar,52,6,M,D,0.405084696,#N/D,1.4348621056556354,2.238768168838354,-0.803906063182718,-1.1585559856943095,1.1024873735312173,-2.2610433592255257,-0.45589331790382065,0.2340292028602513,-0.6899225207640721
23011,excombatant,exparamilitar,39,2,M,D,0.86800434,#N/D,0.8357302571259885,0.03094936959319151,0.8047808875327973,-0.48445152811304537,-0.7651886741969344,0.280737146083889,0.3487697685239363,0.3703192421590262,-0.021549473635089786
23012,excombatant,exguerrilla,43,5,M,D,0.410872348,#N/D,0.5235008579297502,1.7560799269158582,-1.2325790689861078,0.8617199570437385,-0.12358711492234592,0.9853070719660841,-2.3058184215589828,1.7166468707286646,-4.022465292287648
23013,excombatant,exparamilitar,57,4,M,D,-0.275812376,#N/D,0.3443567064311235,0.20635608375691386,0.13800062267420968,0.8592133505179368,0.38238020483450436,0.4768331456834327,0.5944700194946475,1.6793481328146658,-1.084878113320018
23015,excombatant,exparamilitar,48,7,M,D,-0.154196283,#N/D,0.3588880837533787,0.41064706347458985,-0.05175897972121118,1.1732392622655847,0.5084414061845284,0.6647978560810565,0.11046843465598598,-0.05257254630160485,0.1630409809575908
23016,excombatant,exparamilitar,38,5,M,D,-0.289444994,#N/D,0.7379840387494713,-0.8179894876519013,1.555973526401373,-0.1622278527878707,0.20415351577917104,-0.3663813685670416,0.8749383261992211,1.2313066358665012,-0.35636830966728006
23017,excombatant,exparamilitar,53,11,M,D,-0.283610643,#N/D,0.6539445599657328,0.9725513932859285,-0.31860683332019596,1.2471108388047634,1.2355353713317547,0.011575467473007733,0.3501639829434301,0.0890523505052123,0.2611116324382179
23018,excombatant,exparamilitar,40,11,M,I,0.392467262,#N/D,0.35785201428543073,-0.4660660106014421,0.8239180248868733,-0.09695903172664376,0.4305439281449194,-0.5275029598715633,-0.6497057484463925,-0.8896644346106976,0.23995868616430507
23019,excombatant,exparamilitar,39,13,M,I,0.243127354,#N/D,0.008834499254892842,-0.5198192854071001,0.5286537846619929,0.6378515409402394,0.40372647318153526,0.2341250677587043,-2.021631718141014,-1.0010205258100764,-1.0206111923309371
23020,excombatant,exparamilitar,45,12,M,D,0.132146075,#N/D,-0.9193431595408992,0.3590945411964469,-1.2784377007373462,0.6793226567461875,1.4225351726012077,-0.7432125158550197,-0.9016754412505074,-0.3851018839763931,-0.5165735572741145
23021,excombatant,exparamilitar,36,11,M,D,-0.358569386,#N/D,-0.7659299378239487,-0.17823803718325468,-0.587691900640694,-0.9067821925596167,-0.5213505527279347,-0.3854316398316823,-1.1724664516099546,-0.6816287295466067,-0.49083772206334775
23022,excombatant,ex-both-sides,39,12,M,D,-0.271268617,#N/D,1.720418322767853,1.1514856723498497,0.5689326504180033,1.310184074045548,-0.0976397634375255,1.4078238374830734,0.6240545003062632,-0.7028247426700142,1.3268792429762772
23023,excombatant,exparamilitar,36,12,M,D,-0.170290503,#N/D,0.23725871378268587,0.17957735415311007,0.057681359629575844,0.702392742905937,1.2755445198334565,-0.5731517769275191,1.3865607925776204,0.20819621424715648,1.178364578330464
23025,excombatant,ex-both-sides,51,7,M,D,0.31556073,#N/D,0.37699899612953114,-0.2460517226890876,0.6230507188186185,1.2865852164159721,-0.07047858508634809,1.3570638015023198,1.2812877386781525,0.3512395814384126,0.9300481572397397
24002,victim,victim,27,15,F,D,0.243995944,-0.739378479,0.4701388139666719,0.5709921220425156,-0.10085330807584376,2.2664618645228445,0.8343932771078013,1.4320685874150425,0.3783763375560856,0.5318023913317723,-0.15342605377568636
24003,victim,victim,52,0,F,D,0.235468293,-0.203319279,-1.498600293214249,-1.079025315257006,-0.4195749779572428,-0.701793818120423,-0.44044475528479676,-0.2613490628356262,1.4492511305352656,1.1511283339268645,0.2981227966084008
24004,victim,victim,27,11,F,D,-0.024579801,0.154143704,-1.0023731922108734,-2.06212010520783,1.0597469129969563,1.422009436072948,0.5415595157865046,0.8804499202864434,2.1270447115684283,1.5971688654868825,0.5298758460815461
24005,victim,victim,35,11,F,D,-0.113380137,-0.901124478,-0.46929256436415134,-0.07146874063700212,-0.39782382372714925,-0.11860532935414571,-1.3519086728102492,1.2333033434561036,-0.29150575951964697,0.5323431988658323,-0.8238489583854792
24013,victim,victim,46,11,F,D,-0.039705943,-0.023163402,-0.8997026113076335,-0.8503899290721723,-0.04931268223546074,1.4756493037781089,2.4957668035245564,-1.0201174997464464,1.8561397094658736,1.5011720358096403,0.3549676736562336
24014,victim,victim,41,11,F,D,0.057988399,-0.984642672,0.15389619818198494,0.28240337670980475,-0.12850717852781982,1.018187640854243,0.4220865425733206,0.5961010982809231,0.042885047029071935,0.4336534658132866,-0.39076841878421464
24015,victim,victim,27,8,F,D,0.35670665,-0.55582206,0.3149733448838829,0.9409595003673963,-0.6259861554835136,3.500493736196535,2.598168796436832,0.9023249397597027,-1.0158603373025084,0.003506072140156704,-1.0193664094426649
24017,victim,victim,38,16,F,D,-0.088856911,#N/D,-0.16761524710644465,0.12986364881495296,-0.29747889592139776,0.4909087220806471,-0.09574772481618213,0.5866564468968293,0.03764092971483565,-0.11307065809079486,0.15071158780563051
24025,victim,victim,38,15,F,D,0.123040164,0.269516999,0.5250420331780484,0.3831666921467186,0.14187534103132987,1.159267823199707,1.917024931773209,-0.7577571085735026,1.597286495484755,1.9119214180059798,-0.3146349225212249
24026,victim,victim,28,16,F,D,0.34405391,0.474009865,-0.5313468194702315,1.3624097323539672,-1.8937565518241988,0.24411537599956548,1.9718000100759645,-1.7276846340763987,0.2758992217068958,2.9699827032344572,-2.6940834815275614
24027,victim,victim,49,11,M,D,0.165998939,-0.199666022,-1.236439761924199,-1.2552505734966588,0.018810811572460086,-0.09742430637024163,0.3872830320006543,-0.48470733837089586,-2.7815738514714066,-1.3318396847762317,-1.4497341666951749
24035,victim,victim,47,11,F,D,0.310219341,-1.129744858,-1.5687014164350963,-0.34198159320417953,-1.2267198232309167,-0.4158612778563384,2.1437849950489203,-2.559646272905259,-1.6238916715507032,1.4685472008877665,-3.0924388724384704
24039,victim,victim,48,14,F,D,0.63726691,0.694334536,-1.7561363715804805,-0.22400542034945684,-1.532130951231024,-0.7111130530685638,1.2771646985988416,-1.9882777516674055,1.0287194267900106,0.8232447868128097,0.20547463997720117
24043,victim,victim,52,11,F,D,-0.171814063,-0.396181643,0.2486406306485413,0.7852066568047302,-0.5365660261561888,1.3528770912013441,3.255344004182508,-1.9024669129811633,1.4998001596605823,1.6354111241801623,-0.13561096451957935
24045,victim,victim,18,6,M,D,0.364433984,-0.193869959,0.20541002925956692,1.544169891467882,-1.3387598622083157,-0.9397249949731871,0.7748864435321389,-1.7146114385053264,-1.2234836026570466,1.3959372234593097,-2.6194208261163556
24052,victim,victim,58,11,F,D,0.278044257,-0.470595942,-1.5116711736702684,2.141370184249788,-3.6530413579200576,1.8085485614893568,4.13858691599527,-2.330038354505912,-1.1175437053926514,3.0348989574060394,-4.152442662798692
24053,victim,victim,24,13,F,D,0.11443085,0.044347787,-3.2334338732518684,-2.697762652377462,-0.5356712208744063,-0.08011945529814453,0.4305601673729465,-0.5106796226710909,-1.1776170194487001,0.1777447668644617,-1.3553617863131624
24057,victim,victim,39,11,F,D,-0.183536178,#N/D,-0.6427033470329133,-0.8533568769536685,0.21065352992075517,-1.7430701348149962,0.1907832983656688,-1.933853433180665,-0.455024653710441,0.07181791724027836,-0.5268425709507194
24059,victim,victim,44,11,F,D,0.542485513,0.01547457,-0.244392344363184,-0.6763406464923013,0.4319483021291173,2.0141832527215997,1.1300106320121517,0.884172620709447,-0.5709750696710014,-0.8233615236954671,0.25238645402446575
24065,victim,victim,49,6,F,D,0.236350359,-0.312611065,-0.6950703073489177,1.7575120489339824,-2.452582356282901,-1.5178867691766802,0.5686971449965587,-2.0865839141732385,0.8312863798828024,2.810303693309642,-1.97901731342684
24069,victim,victim,22,11,F,D,-0.031672422,-0.077150515,0.5221674638908753,0.38147195388963046,0.14069551000124492,0.5638947879474888,-0.24875512224500806,0.8126499101924974,1.5595483112318398,1.004646449985045,0.554901861246795
24073,victim,victim,70,11,F,D,0.77379574,0.167863855,-0.837266273397557,0.7111540414526519,-1.5484203148502091,2.0090383910627176,2.3801587685240837,-0.37112037746136656,0.30353423957943976,2.8151146735193557,-2.511580433939917
24101,victim,victim,46,7,F,D,0.122191276,-0.456689841,-0.6604937700815603,-0.3988546595803926,-0.2616391105011677,0.38479618153163375,1.7781810704309822,-1.393384888899348,0.08520622051125858,1.56181282333385,-1.476606602822591
