subject,type,group,age,scholarship,gender,laterality,dscore_4,modo_2,mean_co_0,mean_in_0,dif_co_in_0,mean_co_1,mean_in_1,dif_co_in_1,mean_co_2,mean_in_2,dif_co_in_2
21131,excombatant,exguerrilla,18,5,F,D,-0.115430477,0.123017156,1.3227326990153634,0.9102293754867752,0.41250332352858843,0.4255827901662678,0.3008621300266679,0.12472066013959981,0.298502583950703,1.1287716394392753,-0.8302690554885721
21132,excombatant,exparamilitar,42,7,F,D,0.262089133,0.27178298,0.8773172391650339,1.3128839648317152,-0.4355667256666807,-0.8354003366166748,2.390203963676185,-3.2256043002928605,-0.11230665475672552,2.134348403132833,-2.246655057889558
21134,excombatant,exparamilitar,29,12,M,D,-0.099489949,-0.046268277,-0.027513144606864236,-0.8018794794560601,0.7743663348491957,1.9986658885164497,-0.2586562646869403,2.2573221532033907,2.6704318683786963,1.21908390387535,1.4513479645033465
21135,excombatant,exparamilitar,50,14,M,D,-0.145650832,0.125212192,-1.1191685237713447,-2.503673376781781,1.3845048530104358,-1.4559371578028817,0.06875947403902641,-1.5246966318419086,-0.2285859633557055,0.2822739656470866,-0.5108599290027921
21137,excombatant,exguerrilla,32,11,F,D,-0.068333306,0.408179174,0.9252856578817008,0.15384310428017764,0.7714425536015234,-0.7560709531319256,-2.7340097075550642,1.9779387544231388,0.1587337750889089,1.0621752096802959,-0.9034414345913874
21139,excombatant,exparamilitar,38,9,M,D,-0.449695958,0.256151999,0.3760270211685174,-0.24905333535366758,0.6250803565221849,2.351099985906391,0.45833213940853906,1.8927678464978517,0.7958207512091356,-1.330032912972037,2.125853664181173
21140,excombatant,exguerrilla,36,11,M,D,-0.309506268,-0.140847828,0.12324789484152929,0.5013060479299802,-0.378058153088451,1.4624930698057625,2.4581675725227927,-0.99567450271703,0.986982426091089,0.9184947974285997,0.06848762866248922
21143,excombatant,exguerrilla,25,5,F,D,-0.034378863,-0.662631735,-0.004253201306826418,-0.7093979598897273,0.7051447585829007,0.6649915533047217,-0.33214278683164355,0.9971343401363649,0.0184032573401708,-0.285900970771061,0.3043042281112318
21144,excombatant,exguerrilla,43,5,M,D,0.120171062,0.420013115,-0.4233751801188021,0.32378981100989396,-0.7471649911286957,-0.5177536385916529,0.22775263046360028,-0.7455062690552531,-0.49761526439386317,0.03999774541511885,-0.537613009808982
21147,excombatant,exguerrilla,26,12,M,D,-0.076455558,0.409508292,1.5166226077932228,0.793211421797738,0.7234111859954847,0.5668818696217816,1.9386820138634018,-1.37180014424162,1.0789199959436053,0.46063219099382935,0.6182878049497759
21152,excombatant,exparamilitar,19,9,M,D,0.752042801,2.123772475,0.5084608727888933,1.4169193084152032,-0.9084584356263105,-0.08462700469890913,1.9650453852276237,-2.0496723899265326,0.10088460216379393,0.713620087889839,-0.6127354857260449
23002,excombatant,exparamilitar,48,6,M,D,-0.322639193,#N/D,0.03986201345811306,-0.01709989093030073,0.056961904388413774,-0.2651551513628109,-1.4102917364439476,1.145136585081137,-0.7028153232059849,-0.25381550028989974,-0.4489998229160852
23004,excombatant,exparamilitar,42,11,F,D,0.55509367,#N/D,-0.06088177986451424,-1.0517269253579606,0.9908451454934464,-0.2737337173282027,0.15946543072053745,-0.4331991480487402,0.33260107141800027,-0.36098131177065923,0.6935823831886595
